,AveragePrice,TotalVolume,TotalBags,type,year,region
0,1.22,40873.28,9716.46,conventional,2015,Albany
1,1.0,435021.49,46815.79,conventional,2015,Atlanta
2,1.396017972711152,788025.06,141136.68,conventional,2015,BaltimoreWashington
3,1.01,80034.32,7755.62,conventional,2015,Boise
4,1.02,491738.0,87663.13,conventional,2015,Boston
5,1.4,116253.44,57182.88,conventional,2015,BuffaloRochester
6,0.93,5777334.9,528451.74,conventional,2015,California
7,1.19,166006.29,50797.56,conventional,2015,Charlotte
8,1.11,783068.03,77539.48,conventional,2015,Chicago
9,0.88,228569.58,295043.20947097597,conventional,2015,CincinnatiDayton
10,0.89,158638.04,18869.56,conventional,2015,Columbus
11,1.396017972711152,1086363.97,89330.21,conventional,2015,DallasFtWorth
12,0.99,668086.0,115559.9,conventional,2015,Denver
13,1.01,369694.27,56132.13,conventional,2015,Detroit
14,0.95,258979.63,45921.57,conventional,2015,GrandRapids
15,1.02,3382800.12,537780.56,conventional,2015,GreatLakes
16,1.396017972711152,203939.14,48952.57,conventional,2015,HarrisburgScranton
17,1.06,332208.14,58061.57,conventional,2015,HartfordSpringfield
18,0.71,1062990.62,115837.55,conventional,2015,Houston
19,1.02,160130.15,36485.45,conventional,2015,Indianapolis
20,0.97,153506.84,28686.57,conventional,2015,Jacksonville
21,0.8,317861.35,58638.68,conventional,2015,LasVegas
22,0.85,2682159.95,255504.05,conventional,2015,LosAngeles
23,0.92,101162.98,23797.31,conventional,2015,Louisville
24,0.97,540234.22,86680.79,conventional,2015,MiamiFtLauderdale
25,1.1,2578275.12,510468.5,conventional,2015,Midsouth
26,1.396017972711152,162162.75,25514.31,conventional,2015,Nashville
27,0.94,222751.51,60062.94,conventional,2015,NewOrleansMobile
28,1.09,917091.3424611753,249495.69,conventional,2015,NewYork
29,1.09,3759282.62,764351.66,conventional,2015,Northeast
30,1.05,321823.77,52490.37,conventional,2015,NorthernNewEngland
31,1.0,281803.19,52719.49,conventional,2015,Orlando
32,1.1,407675.56,86647.87,conventional,2015,Philadelphia
33,0.65,1048062.16,92499.06,conventional,2015,PhoenixTucson
34,1.52,54956.8,14925.18,conventional,2015,Pittsburgh
35,1.01,1683795.3,178834.99,conventional,2015,Plains
36,0.97,917091.3424611753,76559.75,conventional,2015,Portland
37,1.2,221086.46,55663.83,conventional,2015,RaleighGreensboro
38,1.13,182697.97,36245.72,conventional,2015,RichmondNorfolk
39,1.13,109215.0,23332.97,conventional,2015,Roanoke
40,1.05,430138.88,39600.08,conventional,2015,Sacramento
41,0.94,461607.33,36852.99,conventional,2015,SanDiego
42,0.99,907795.89,82484.31,conventional,2015,SanFrancisco
43,1.396017972711152,634522.34,111554.96,conventional,2015,Seattle
44,1.01,309024.22,68870.22,conventional,2015,SouthCarolina
45,0.77,5144267.01,570682.81,conventional,2015,SouthCentral
46,0.98,3204112.16,568730.84,conventional,2015,Southeast
47,1.0,84612.39,10002.54,conventional,2015,Spokane
48,1.15,198735.26,38412.1,conventional,2015,StLouis
49,1.33,41143.51,17715.21,conventional,2015,Syracuse
50,0.97,339909.13,75991.75,conventional,2015,Tampa
51,0.95,31324277.73,4498940.02,conventional,2015,TotalUS
52,0.89,5794410.58,839638.97,conventional,2015,West
53,0.75,758118.95,168013.76,conventional,2015,WestTexNewMexico
54,1.79,1373.95,1162.65,organic,2015,Albany
55,1.76,3846.69,1408.19,organic,2015,Atlanta
56,1.29,19137.28,295043.20947097597,organic,2015,BaltimoreWashington
57,1.64,1505.12,374.35,organic,2015,Boise
58,1.83,2192.13,1244.04,organic,2015,Boston
59,1.73,379.82,320.0,organic,2015,BuffaloRochester
60,1.24,142349.77,9144.15,organic,2015,California
61,2.13,917091.3424611753,1025.63,organic,2015,Charlotte
62,1.49,17723.17,905.55,organic,2015,Chicago
63,1.34,8764.33,1698.11,organic,2015,CincinnatiDayton
64,1.44,3930.94,1140.08,organic,2015,Columbus
65,1.396017972711152,9895.96,3613.34,organic,2015,DallasFtWorth
66,1.42,22480.07,12356.44,organic,2015,Denver
67,1.7,7446.43,2059.09,organic,2015,Detroit
68,1.396017972711152,1012.61,216.17,organic,2015,GrandRapids
69,1.54,61615.1,15018.11,organic,2015,GreatLakes
70,1.68,2896.72,295043.20947097597,organic,2015,HarrisburgScranton
71,2.32,4801.1,349.53,organic,2015,HartfordSpringfield
72,1.396017972711152,8938.32,1256.67,organic,2015,Houston
73,1.63,1780.6,295043.20947097597,organic,2015,Indianapolis
74,1.81,1381.31,523.33,organic,2015,Jacksonville
75,1.5,6329.83,457.12,organic,2015,LasVegas
76,1.25,54495.54,5050.63,organic,2015,LosAngeles
77,1.48,1395.75,558.7,organic,2015,Louisville
78,1.82,2288.44,796.67,organic,2015,MiamiFtLauderdale
79,1.56,58065.35,19114.43,organic,2015,Midsouth
80,1.84,3966.0,945.43,organic,2015,Nashville
81,1.41,2604.25,2360.0,organic,2015,NewOrleansMobile
82,1.93,17328.24,2269.38,organic,2015,NewYork
83,1.396017972711152,48280.46,21391.49,organic,2015,Northeast
84,1.83,917091.3424611753,6664.25,organic,2015,NorthernNewEngland
85,1.8,2057.29,803.33,organic,2015,Orlando
86,1.72,3788.6,1794.91,organic,2015,Philadelphia
87,1.12,917091.3424611753,858.6,organic,2015,PhoenixTucson
88,1.81,1339.36,461.03,organic,2015,Pittsburgh
89,1.69,34190.37,15338.27,organic,2015,Plains
90,1.28,32927.82,3658.63,organic,2015,Portland
91,2.01,3397.0,1072.67,organic,2015,RaleighGreensboro
92,1.54,4212.16,1922.3,organic,2015,RichmondNorfolk
93,1.396017972711152,4414.29,1597.26,organic,2015,Roanoke
94,1.33,9213.49,1158.45,organic,2015,Sacramento
95,1.23,19089.36,828.81,organic,2015,SanDiego
96,1.18,22630.58,426.67,organic,2015,SanFrancisco
97,1.49,33795.91,6252.15,organic,2015,Seattle
98,1.86,3351.76,1802.0,organic,2015,SouthCarolina
99,1.35,53494.91,20768.73,organic,2015,SouthCentral
100,1.75,917091.3424611753,13598.46,organic,2015,Southeast
101,1.3,5782.7,838.26,organic,2015,Spokane
102,1.8,3597.07,523.33,organic,2015,StLouis
103,1.72,593.39,490.68,organic,2015,Syracuse
104,1.7,1885.48,1106.67,organic,2015,Tampa
105,1.46,612910.15,158641.83,organic,2015,TotalUS
106,1.396017972711152,187548.3,44268.18,organic,2015,West
107,1.64,6182.81,1663.34,organic,2015,WestTexNewMexico
108,1.24,41195.08,8424.77,conventional,2015,Albany
109,1.11,397542.72,47038.08,conventional,2015,Atlanta
110,1.396017972711152,670231.94,155406.52,conventional,2015,BaltimoreWashington
111,1.18,57355.52,4923.75,conventional,2015,Boise
112,1.1,437771.89,111524.61,conventional,2015,Boston
113,1.54,106221.32,53514.26,conventional,2015,BuffaloRochester
114,0.92,917091.3424611753,546047.53,conventional,2015,California
115,1.26,159942.68,49435.79,conventional,2015,Charlotte
116,1.15,802874.94,79298.64,conventional,2015,Chicago
117,0.92,201392.27,43475.66,conventional,2015,CincinnatiDayton
118,0.97,125742.48,18981.23,conventional,2015,Columbus
119,0.76,1128693.04,87684.88,conventional,2015,DallasFtWorth
120,1.09,666579.35,122524.21,conventional,2015,Denver
121,1.08,917091.3424611753,56696.63,conventional,2015,Detroit
122,1.03,917091.3424611753,42379.3,conventional,2015,GrandRapids
123,1.1,3067638.32,515263.25,conventional,2015,GreatLakes
124,1.26,178735.25,64838.42,conventional,2015,HarrisburgScranton
125,1.38,232640.15,85049.89,conventional,2015,HartfordSpringfield
126,0.78,1062071.65,152918.86,conventional,2015,Houston
127,1.25,138617.04,33310.48,conventional,2015,Indianapolis
128,1.2,99757.17,24566.54,conventional,2015,Jacksonville
129,0.93,274481.48,37144.36,conventional,2015,LasVegas
130,0.85,2713699.6,251246.65,conventional,2015,LosAngeles
