AveragePrice,TotalVolume,4046,4225,4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region,split
1.22,40873.28,2819.5,28287.42,49.9,9716.46,9186.93,529.53,0.0,0,2015,0,1.764007642576173
1.3960179727111521,788025.06,53987.31,552906.04,39995.03,141136.68,137146.07,3990.61,0.0,0,2015,2,-0.5759522940979036
1.01,80034.32,44562.12,24964.23,2752.35,7755.62,6064.3,1691.32,0.0,0,2015,3,-0.362871366956901
1.02,491738.0,7193.87,396752.18,128.82,87663.13,87406.84,256.29,0.0,0,2015,4,0.5488996815978057
1.4,116253.44,3267.97,55693.04,109.55,57182.88,57182.88,0.0,0.0,0,2015,5,-1.188813887907515
0.93,5777334.9,2843648.26,2267755.26,137479.64,528451.74,477193.38,47882.56,3375.8,0,2015,6,1.0006531223960058
1.19,166006.29,29419.03,47220.75,38568.95,50797.56,212419.8848198304,75899.23798835442,0.0,0,2015,7,-0.6779440564681307
1.11,783068.03,30270.26,550752.19,124506.1,77539.48,72888.46,4651.02,0.0,0,2015,8,0.4962793205316607
0.88,228569.58,3274.3,168764.78,1447.06,295043.209470976,17525.31,37445.46,112.67,0,2015,9,1.8480422061231199
0.89,158638.04,80298.77,51860.47,7609.24,18869.56,16518.15,2132.21,219.2,0,2015,10,0.2102685569505986
0.99,668086.0,117454.09,429518.41,5553.6,115559.9,67894.33,47661.52,4.05,0,2015,12,1.3853251836132994
1.01,369694.27,121634.27,117865.11,74062.76,56132.13,46679.86,1060.51,8391.76,0,2015,13,-0.09974278129788312
0.95,258979.63,1097.0,189348.6,22612.46,45921.57,43899.46,1097.68,924.43,0,2015,14,-0.746441554465184
1.06,332208.14,6387.6,267593.62,22463.61928975053,58061.57,55401.31,2660.26,0.0,0,2015,17,-1.076917956843633
0.71,1062990.62,298153.02075182484,436347.57,4378.92,115837.55,90299.85,25537.7,0.0,0,2015,18,-0.966295881076196
0.97,153506.84,105203.79,19147.78,468.7,28686.57,13653.15,15033.42,0.0,0,2015,20,-0.4744352200474986
0.97,540234.22,398670.03,54844.33,39.07,86680.79,38505.18,48175.61,0.0,0,2015,24,-0.6946586043677337
1.1,2578275.12,575245.44,1311502.53,181058.65,510468.5,429166.89,80986.81,314.8,0,2015,25,-0.5435696277321642
1.3960179727111521,162162.75,113865.83,11083.58,11699.03,25514.31,19681.13,5611.51,221.67,0,2015,26,0.8514898775435528
0.94,222751.51,148384.22,14085.72,218.63,60062.94,54422.22,5640.72,0.0,0,2015,27,-1.5295023487672816
1.09,917091.3424611752,23641.0,1127882.44,1871.07,249495.69,178683.01,70812.68,0.0,0,2015,28,0.024570891099957776
1.09,3759282.62,126640.65,2860709.93,7580.38,764351.66,669970.5,94381.16,0.0,0,2015,29,0.2973826850649562
1.0,281803.19,190743.27,38265.21,75.22,52719.49,19933.7,32785.79,0.0,0,2015,31,1.042159615837044
1.1,407675.56,24190.91,294715.33,2121.45,86647.87,72829.94,13817.93,0.0,0,2015,32,0.49937911788170414
1.52,54956.8,3013.04,35456.88,1561.7,14925.18,11264.8,3660.38,0.0,0,2015,34,-0.3718314375110534
1.01,1683795.3,1027842.3,466641.12,10476.89,178834.99,177360.2,440.57,1034.22,0,2015,35,-1.1020475568120185
1.2,221086.46,53316.16,72178.46,39928.01,55663.83,44040.64,11623.19,0.0,0,2015,37,0.2550402721818494
1.13,182697.97,56293.75,80396.09,9762.41,36245.72,31778.36,4467.36,0.0,0,2015,38,1.4691930458659197
1.13,109215.0,48285.15,37562.78,34.1,23332.97,21582.97,1750.0,0.0,0,2015,39,-0.253873375317051
1.05,430138.88,110693.69,270107.61,9737.5,39600.08,39600.08,0.0,0.0,0,2015,40,0.49628389663241074
0.99,907795.89,179507.69,637000.1,8803.79,82484.31,82033.71,444.44,6.16,0,2015,42,-0.5742656448804505
1.3960179727111521,634522.34,165839.16,341836.86,15291.36,111554.96,96695.27,14859.69,4405.6384670481,0,2015,43,0.21657738100684334
1.01,309024.22,180977.06,46253.49,12923.45,68870.22,52556.0,16314.22,0.0,0,2015,44,0.2636027001469452
0.77,5144267.01,2745009.1,1755142.21,73432.89,570682.81,442217.85,128451.37,13.59,0,2015,45,1.0120084488318708
0.98,3204112.16,2296069.27,320373.63,18938.42,568730.84,287820.14,280910.7,4405.6384670481,0,2015,46,-0.30918856476382967
1.0,84612.39,26607.29,44341.92,3660.64,10002.54,9556.06,446.48,0.0,0,2015,47,-0.6206649858192543
1.33,41143.51,2506.61,20905.01,16.68,17715.21,17715.21,0.0,0.0,0,2015,49,-0.2684729890375117
0.95,31324277.73,12357161.34,13624083.05,844093.32,4498940.02,3585321.58,894945.63,18672.81,0,2015,51,0.1487198259392171
0.89,5794410.58,2275446.87,2582300.65,97024.09,839638.97,688813.01,150819.57,6.39,0,2015,52,1.4519635536205306
0.75,758118.95,426878.87,147958.43,15267.89,168013.76,165202.22,2811.54,0.0,0,2015,53,0.006689054611463837
1.79,1373.95,57.42,153.88,0.0,1162.65,1162.65,0.0,4405.6384670481,1,2015,0,1.0114725375370988
1.76,3846.69,1500.15,938.35,0.0,1408.19,1071.35,336.84,0.0,1,2015,1,0.3117639705475053
1.29,19137.28,8040.64,6557.47,657.48,295043.209470976,212419.8848198304,0.0,0.0,1,2015,2,1.1762247979480538
1.64,1505.12,1.27,1129.5,0.0,374.35,186.67,187.68,0.0,1,2015,3,0.20386464894426018
1.83,2192.13,8.66,939.43,0.0,1244.04,1244.04,0.0,0.0,1,2015,4,0.12467422392231418
1.73,379.82,0.0,59.82,0.0,320.0,320.0,0.0,0.0,1,2015,5,0.44762720242351156
2.13,917091.3424611752,151.7,882.52,905.77,1025.63,1025.63,0.0,0.0,1,2015,7,0.17718909173257974
1.49,17723.17,1189.35,15628.27,0.0,905.55,905.55,0.0,0.0,1,2015,8,0.3574766797273601
1.34,8764.33,144.47,6921.75,0.0,1698.11,585.96,1112.15,0.0,1,2015,9,0.9163848849986724
1.44,3930.94,358.05,2432.81,0.0,1140.08,444.17,695.91,0.0,1,2015,10,2.1962519947568335
1.42,22480.07,3199.35,6916.72,7.56,12356.44,1076.67,11279.77,0.0,1,2015,12,-0.40651668157181436
1.7,7446.43,361.76,5025.58,0.0,2059.09,746.43,1312.66,0.0,1,2015,13,1.0704890388922723
1.3960179727111521,1012.61,23.59,772.85,0.0,216.17,210.0,6.17,0.0,1,2015,14,-0.3535051234563326
1.54,61615.1,3633.93,42963.06,0.0,15018.11,9763.55,5254.56,0.0,1,2015,15,-0.8857466573017848
2.32,4801.1,87.56,4364.01,0.0,349.53,349.53,0.0,0.0,1,2015,17,-1.3918830572109102
1.63,1780.6,76.89,874.32,0.0,295043.209470976,542.89,286.5,0.0,1,2015,19,-0.7558035823246462
1.81,1381.31,803.33,47.67,6.98,523.33,523.33,0.0,0.0,1,2015,20,-0.5756249673124347
1.5,6329.83,3730.8,2141.91,0.0,457.12,426.67,30.45,0.0,1,2015,21,0.36048071788508435
1.25,54495.54,47721.51,1723.4,0.0,5050.63,5050.63,75899.23798835442,0.0,1,2015,22,0.6026568049412919
1.48,1395.75,12.41,824.64,0.0,558.7,478.15,80.55,0.0,1,2015,23,0.08234062210768331
1.82,2288.44,1438.04,53.73,0.0,796.67,796.67,0.0,0.0,1,2015,24,1.3825133151247417
1.56,58065.35,10049.66,25228.37,3672.89,19114.43,17280.89,1833.54,0.0,1,2015,25,0.4012825330062794
1.41,2604.25,220.61,23.64,0.0,2360.0,2360.0,0.0,0.0,1,2015,27,0.918308757967401
1.93,17328.24,2357.18,12692.21,9.47,2269.38,2269.38,0.0,0.0,1,2015,28,-0.4493190495528776
1.3960179727111521,48280.46,4476.73,22389.09,23.15,21391.49,21379.79,11.7,0.0,1,2015,29,1.5749781588366463
1.83,917091.3424611752,6.81,630.24,0.0,6664.25,6664.25,0.0,0.0,1,2015,30,-0.2752784769030514
1.8,2057.29,1200.41,53.55,0.0,803.33,803.33,0.0,0.0,1,2015,31,-0.2136290703435074
1.72,3788.6,384.3,1597.97,11.42,1794.91,212419.8848198304,0.0,0.0,1,2015,32,0.23368570666427999
1.81,1339.36,754.0,124.33,0.0,461.03,447.01,14.02,0.0,1,2015,34,-0.7564153178525514
1.69,34190.37,3874.31,14945.34,32.45,15338.27,13793.22,1545.05,0.0,1,2015,35,0.7474125545366881
1.28,32927.82,17580.96,11685.08,3.15,3658.63,613.33,75899.23798835442,0.0,1,2015,36,0.6423754804594902
2.01,3397.0,58.22,1493.9,772.21,1072.67,993.94,78.73,0.0,1,2015,37,-0.008135068100295805
1.54,4212.16,238.48,1678.83,372.55,1922.3,1570.28,352.02,0.0,1,2015,38,1.8747185974695089
1.23,19089.36,17522.46,735.22,2.87,828.81,828.81,0.0,0.0,1,2015,41,-0.47862957132885703
1.18,22630.58,13175.57,9028.34,0.0,426.67,426.67,0.0,0.0,1,2015,42,-0.2498527205531524
1.86,3351.76,355.79,754.78,439.19,1802.0,1768.67,75899.23798835442,0.0,1,2015,44,-1.4288050427458943
1.35,53494.91,24139.72,8586.46,0.0,20768.73,20622.28,146.45,0.0,1,2015,45,-0.056315488177418285
1.3,5782.7,723.29,4221.15,0.0,838.26,223.33,614.93,0.0,1,2015,47,-2.063354144085575
1.8,3597.07,1552.48,1521.26,0.0,523.33,523.33,0.0,0.0,1,2015,48,0.12412825419825788
1.72,593.39,0.0,102.71,0.0,490.68,490.68,0.0,0.0,1,2015,49,0.13241739999993002
1.46,612910.15,233286.13,295828.4299183668,4370.99,158641.83,115068.71,43573.12,0.0,1,2015,51,1.1081578797446765
1.3960179727111521,187548.3,70313.71,72942.11,24.3,44268.18,10023.72,34244.46,0.0,1,2015,52,-1.6139787166693464
1.64,6182.81,1561.3,2958.17,22463.61928975053,1663.34,1663.34,0.0,0.0,1,2015,53,0.38321924944436975
